,cluster
0,4
1,13
2,9
3,0
4,6
5,6
6,3
7,2
8,11
9,13
10,0
11,9
12,13
13,0
14,7
15,9
16,2
17,13
18,2
19,5
20,8
21,7
22,7
23,0
24,7
25,13
26,5
27,8
28,4
29,7
30,13
31,3
32,4
33,7
34,13
35,9
36,8
37,5
38,6
39,13
40,0
41,0
42,8
43,7
44,2
45,2
46,4
47,4
48,5
49,13
50,4
51,4
52,5
53,7
54,6
55,8
56,0
57,4
58,4
59,6
60,4
61,0
62,0
63,5
64,13
65,7
66,8
67,5
68,2
69,0
70,3
71,2
72,7
73,13
74,0
75,0
76,13
77,6
78,2
79,6
80,13
81,6
82,2
83,13
84,13
85,7
86,13
87,13
88,4
89,13
90,13
91,4
92,4
93,7
94,8
95,4
96,5
97,6
98,4
99,7
100,13
101,8
102,4
103,6
104,13
105,1
106,4
107,7
108,2
109,8
110,12
111,0
112,7
113,0
114,7
115,4
116,13
117,7
118,4
119,13
120,4
121,7
122,5
123,2
124,13
125,13
126,13
127,7
128,2
129,3
130,7
131,8
132,4
133,6
134,1
135,8
136,5
137,8
138,0
139,9
140,9
141,7
142,4
143,0
144,3
145,12
146,8
147,13
148,8
149,8
150,7
151,9
152,2
153,4
154,0
155,2
156,3
157,6
158,8
159,3
160,3
161,4
162,2
163,6
164,0
165,13
166,11
167,2
168,13
169,4
170,7
171,5
172,2
173,2
174,7
175,13
176,0
177,0
178,4
179,6
180,2
181,7
182,2
183,4
184,7
185,0
186,7
187,4
188,6
189,5
190,7
191,7
192,4
193,7
194,13
195,4
196,6
197,12
198,8
199,8
200,13
201,2
202,0
203,7
204,4
205,1
206,9
207,2
208,0
209,0
210,8
211,8
212,0
213,4
214,4
215,13
216,7
217,4
218,4
219,13
220,6
221,7
222,8
223,7
224,7
225,6
226,4
227,4
228,7
229,11
230,7
231,6
232,0
233,7
234,7
235,4
236,2
237,4
238,4
239,0
240,11
241,13
242,7
243,7
244,0
245,7
246,4
247,13
248,7
249,13
250,8
251,13
252,4
253,13
254,7
255,13
256,6
257,6
258,1
259,8
260,1
261,8
262,7
263,5
264,4
265,4
266,4
267,6
268,5
269,5
270,4
271,10
272,12
273,10
274,12
275,0
276,13
277,13
278,8
279,4
280,6
281,6
282,13
283,13
284,13
285,2
286,4
287,7
288,8
289,0
290,6
291,12
292,9
293,9
294,7
295,8
296,10
297,6
298,4
299,6
300,2
301,12
302,6
303,5
304,9
305,2
306,4
307,6
308,7
309,11
310,4
311,5
312,9
313,7
314,2
315,5
316,6
317,2
318,4
319,6
320,8
321,4
322,0
323,4
324,4
325,6
326,5
327,9
328,9
329,7
330,9
331,4
332,4
333,8
334,2
335,10
336,7
337,2
338,13
339,4
340,12
341,8
342,12
343,10
344,10
345,4
346,9
347,12
348,9
349,5
350,7
351,7
352,6
353,1
354,10
355,7
356,2
357,0
358,2
359,6
360,5
361,10
362,13
363,0
364,8
365,4
366,4
367,11
368,3
369,4
370,7
371,4
372,7
373,13
374,8
375,7
376,13
377,13
378,13
379,7
380,0
381,1
382,5
383,4
384,8
385,2
386,13
387,0
388,0
389,4
390,7
391,13
392,8
393,13
394,7
395,4
396,5
397,8
398,7
399,8
400,4
401,11
402,3
403,6
404,13
405,7
406,9
407,0
408,2
409,4
410,12
411,10
412,13
413,0
414,5
415,4
416,6
417,4
418,4
419,9
420,3
421,4
422,6
423,9
424,8
425,0
426,4
427,13
428,6
429,7
430,13
431,4
432,5
433,10
434,10
435,13
436,8
437,7
438,8
439,8
440,0
441,0
442,0
443,2
444,2
445,7
446,2
447,4
448,4
449,8
450,13
451,6
452,0
453,11
454,2
455,2
456,5
457,6
458,4
459,8
460,5
461,12
462,4
463,12
464,2
465,7
466,8
467,4
468,11
469,10
470,4
471,4
472,7
473,0
474,4
475,13
476,4
477,8
478,13
479,7
480,4
481,4
482,10
483,2
484,13
485,13
486,5
487,4
488,8
489,6
490,4
491,4
492,6
493,7
494,13
495,2
496,12
497,2
498,0
499,13
500,4
501,7
502,5
503,0
504,1
505,1
506,0
507,10
508,0
509,13
510,4
511,0
512,4
513,4
514,9
515,13
516,11
517,4
518,13
519,2
520,4
521,13
522,13
523,5
524,8
525,13
526,9
527,2
528,7
529,2
530,9
531,8
532,8
533,8
534,13
535,12
536,0
537,11
538,5
539,8
540,10
541,0
542,5
543,0
544,4
545,4
546,7
547,3
548,5
549,13
550,13
551,7
552,4
553,0
554,12
555,10
556,3
557,11
558,2
559,12
560,6
561,12
562,2
563,12
564,12
565,6
566,4
567,0
568,13
569,6
570,7
571,12
572,2
573,4
574,12
575,6
576,5
577,13
578,7
579,0
580,3
581,13
582,8
583,6
584,11
585,2
586,4
587,13
588,0
589,4
590,13
591,4
592,1
593,5
594,7
595,7
596,3
597,5
598,13
599,6
600,10
601,8
602,13
